date,bei_10_0y,boe_bank_rate,boe_sonia,ons_cpi_yoy,oil,gbpusd,uk_unemployment,uk_business_confidence
2025-03-31,3.448,4.5,4.4554,2.6,68.24,1.2913,4.6,-14.3969
2025-04-30,3.261,4.5,4.4592,3.5,63.54,1.3144,4.7,-11.4907
2025-05-31,3.1992,4.25,4.2111,3.4,62.17,1.3358,4.7,-15.776
2025-06-30,3.0798,4.25,4.2171,3.6,68.17,1.3577,4.7,-12.1877
2025-07-31,3.1644,4.25,4.217,3.8,68.39,1.3489,4.8,-11.9958
2025-08-31,3.1334,4.0,3.9665,3.8,64.86,1.3456,5.0,-14.2147
2025-09-30,3.1058,4.0,3.9671,3.8,63.96,1.3506,5.1,-12.6567
2025-10-31,2.919,4.0,3.9689,3.6,60.89,1.3357,5.1,-12.2414
2025-11-30,2.984,4.0,3.9693,3.2,60.06,1.3139,5.2,-20.1989
2025-12-31,2.955,3.75,3.7257,3.4,57.97,1.3387,5.2,-11.9015
2026-01-31,3.1624,3.75,3.7254,3.0,60.04,1.3536,4.9,-8.4415
2026-02-28,3.0927,3.75,3.7267,3.0,64.51,1.3579,5.0,-13.165
